TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
605;lubelskie;janowski;872,2;ziemski;48030;7697;32828;7493;2;1;32;740576;325383
1207;małopolskie;limanowski;948,1;ziemski;127109;26496;85993;14604;4;1;89;593268;202499
1208;małopolskie;miechowski;674;ziemski;50343;7265;34506;8516;2;4;30;576910;280847
1209;małopolskie;myślenicki;670,7;ziemski;121308;22577;84940;13759;11;4;75;571640;212442
1212;małopolskie;olkuski;616;ziemski;114604;16267;81930;16393;34;3;53;544281;272652
1213;małopolskie;oświęcimski;404,8;ziemski;155996;23075;110104;22801;21;3;61;521261;236160
1062;łódzkie;Piotrków Trybunalski;67;grodzki;76109;11090;54358;10663;4;2;27;549822;394282
1011;łódzkie;poddębicki;877,5;ziemski;42204;6154;29458;6645;3;4;34;494588;447999
1017;łódzkie;wieluński;922,8;ziemski;78222;12200;54812;11206;13;1;57;474198;374058
1802;podkarpackie;brzozowski;537,5;ziemski;66842;11788;46144;8881;13;1;42;722643;211290
1603;opolskie;kędzierzyńsko-kozielski;623;ziemski;98826;12916;70548;15347;13;6;62;440869;269961
3012;wielkopolskie;krotoszyński;710,8;ziemski;77630;13035;55307;9274;6;0;29;390998;431773
2061;podlaskie;Białystok;101,7;grodzki;293279;40583;213055;39650;7;6;130;777969;592770
3029;wielkopolskie;wolsztyński;677;ziemski;56433;10051;40340;5994;9;1;24;304782;472917
3215;zachodniopomorskie;szczecinecki;1758;ziemski;79569;12299;57637;9568;17;1;37;341067;655245
3216;zachodniopomorskie;świdwiński;1088,5;ziemski;49532;7605;36088;5802;6;3;27;295843;664775
2816;warmińsko-mazurskie;piski;1767,8;ziemski;58418;9752;41606;7040;14;2;33;688640;650010
2476;śląskie;Świętochłowice;13,3;grodzki;61193;8568;43469;9156;6;0;23;493607;270080
2478;śląskie;Zabrze;80,1;grodzki;171434;22737;123095;25607;18;0;80;485518;271918
2862;warmińsko-mazurskie;Olsztyn;87,9;grodzki;172414;23050;127043;22312;11;7;69;596615;657871
2802;warmińsko-mazurskie;braniewski;1199;ziemski;43452;6937;31643;4821;6;1;27;565507;713079
2464;śląskie;Częstochowa;159,1;grodzki;235630;29337;169401;36892;26;9;99;508609;326974
220;dolnośląskie;trzebnicki;1021;ziemski;81724;13238;59468;8980;8;4;59;364305;391279
403;kujawsko-pomorskie;bydgoski;1388,1;ziemski;118720;20809;86367;11473;16;4;40;435761;592307
215;dolnośląskie;oławski;522,1;ziemski;74562;11604;54428;8536;14;2;38;381068;345104
218;dolnośląskie;średzki;701,6;ziemski;51109;8049;37199;5852;9;1;23;333443;364853
209;dolnośląskie;legnicki;741,3;ziemski;54154;8211;39352;6579;28;3;27;298184;378925
461;kujawsko-pomorskie;Bydgoszcz;175,3;grodzki;351753;45809;251056;54886;20;6;126;435679;585367
462;kujawsko-pomorskie;Grudziądz;57,5;grodzki;95033;13837;68349;12847;7;4;37;485302;623074
412;kujawsko-pomorskie;rypiński;584,3;ziemski;44968;7573;31590;5807;17;1;31;529148;578669
1205;małopolskie;gorlicki;963,2;ziemski;108893;18693;75759;14410;11;1;60;655484;193774
210;dolnośląskie;lubański;426,8;ziemski;55887;8047;40792;7045;10;1;31;239164;359734
1218;małopolskie;wadowicki;643,8;ziemski;157982;26912;110912;20135;10;0;63;539400;225374
1415;mazowieckie;ostrołęcki;2084,9;ziemski;88958;16378;61298;11225;12;1;84;667652;589014
2479;śląskie;Żory;64,4;grodzki;61984;9848;46878;5262;6;1;27;477753;241344
2210;pomorskie;nowodworski;671;ziemski;36230;6083;26204;3924;2;3;22;515792;713747
205;dolnośląskie;jaworski;579;ziemski;52759;7623;38519;6634;13;5;34;307262;361755
3010;wielkopolskie;koniński;1572;ziemski;128161;22482;91097;14507;35;0;82;451976;488400
1433;mazowieckie;węgrowski;1215,2;ziemski;68438;10932;47412;10013;4;5;53;695169;513922
2215;pomorskie;wejherowski;1281,8;ziemski;199858;38060;142686;19071;24;3;79;438599;750862
2612;świętokrzyskie;staszowski;921,8;ziemski;74161;11538;52339;10215;25;4;45;655627;296781
265;dolnośląskie;Wałbrzych;84,4;grodzki;118466;14453;85207;18794;7;7;43;309121;327738
